keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'+fog light',1.1427201515825816,1.0,-0.7071500510810477,1.0,1.0
'+fog weather',-0.023649425700284953,0.660452950366167,0.24111227910007615,0.7422991662567234,22.0
'fog accident',-0.6436230368677621,0.6774072767812612,0.6514884104513534,0.009398035782333463,2.0
'fog alert',0.2265187259389534,0.6546825466368855,0.13032861729734777,0.74822446963601,24.0
'fog climate change',-0.5773502691896258,1.0,-0.5773502691896266,1.0,1.0
'fog dewpoint',0.008333333333333338,1.0,0.33095238095238094,1.0,1.0
'fog flights',0.006080086946110415,0.987126413927988,0.41678538616361677,0.7983566994543688,31.0
'fog light',0.19178103370207236,0.9185341633831451,0.15909813080059632,0.9060988828172173,109.0
'fog slow down',0.19254743068303573,0.6323087609991199,0.12662094048075145,0.6585199964761822,30.0
'fog warning system',-0.015615773324066091,0.6818796207700952,-0.16171007762719175,0.9141868656510301,29.0
'foggy conditions',0.4089559033054491,0.7355983970953387,-0.10031591111104836,0.8305376584204003,43.0
+fog accident,-0.19463266394958348,0.7741994058211769,-0.0804887706539968,0.8101671483202281,55.0
+fog alert,0.01654600292018919,0.8903339824560299,0.15788015304396813,0.8776114758527545,53.0
+fog climate change,-0.05646595844190672,0.8466447584317772,0.08456659972102099,0.8800374116010811,58.0
+fog dewpoint,-1.4598387293860766,1.0,0.10240698164801096,1.0,1.0
+fog flights,0.10190644465042052,0.8731698225509787,-0.23393267272713056,0.7650060224914189,54.0
+fog light,0.023125580147170956,0.8770453462984603,-0.07321939174958751,0.8973763598323068,145.0
+fog slow down,-0.03557775217156924,0.5689525731779861,-0.06925678128813255,0.8896562884890653,55.0
+fog warning system,0.2287885012448148,0.8791585537567482,0.20133716052856337,0.9262183612728291,54.0
+fog weather,-0.1697707724134938,0.9680328736376793,0.23118441238884552,0.9176686631884766,155.0
+foggy conditions,-0.14387794692747716,0.9187374066927573,0.13331785756920883,0.9364517702006758,53.0
veryUnusualAndNeverUsedKeyword,-0.4347318174789696,0.892839136930787,0.594434884598688,0.9157374569383114,3.0
