,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Delhi,Delhi,GPE,-0.06320952,0.53773581,en,120.00000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
India,India,GPE,0.04766445,0.58446415,en,20.50000000,,-1,,,,,,
North India,North India,LOC,-0.05564103,0.62358974,en,13.00000000,,-1,,,,,,
U.S.,U.S.,GPE,0.18067488,1.23453491,en,9.10000000,,-1,,,,,,
Delhi-NCR,Delhi-NCR,GPE,-0.09599927,0.48642620,en,8.60000000,,-1,,,,,,
Uttar Pradesh,Uttar Pradesh,GPE,-0.12218549,0.51411216,en,8.20000000,,-1,,,,,,
Texas,Texas,GPE,0.19782727,1.21198805,en,6.80000000,4059594-8,4736286,X,31.25044000,-99.25060900,NORTH-AMERICA,United States,CNA
Mumbai,Mumbai,GPE,-0.01971326,0.30017921,en,6.20000000,10013721-0,1275339,X,19.07277700,72.88250000,ASIA,India,SAS
Ukraine,Ukraine,GPE,-0.26092896,0.60097905,en,6.10000000,4061496-7,690791,X,49.00000000,32.00000000,EUROPE,Ukraine,WCE
California,California,GPE,0.34179473,2.12751022,en,6.00000000,,-1,,,,,,
Punjab,Punjab,GPE,-0.10377358,0.91037736,en,5.30000000,,-1,,,,,,
Midwest,Midwest,LOC,-0.08416667,0.54000000,en,5.00000000,,-1,,,,,,
New Delhi,New Delhi,GPE,0.00229390,0.65309147,en,4.60000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
Jharkhand,Jharkhand,GPE,-0.19047619,0.64285714,en,4.20000000,4364512-4,1444365,X,23.75000000,85.50000000,ASIA,India,SAS
Chandigarh,Chandigarh,GPE,0.04761905,0.66666667,en,4.20000000,,-1,,,,,,
Russia,Russia,GPE,-0.12035534,0.99167268,en,4.20000000,,-1,,,,,,
Northeast,Northeast,LOC,-0.06051587,0.53968254,en,4.20000000,,-1,,,,,,
Haryana,Haryana,GPE,0.00000000,0.75609756,en,4.10000000,4239291-3,1270260,X,29.00000000,76.00000000,ASIA,India,SAS
Japan,Japan,GPE,-0.17218661,0.76834046,en,3.90000000,4028495-5,1861060,X,35.68536000,139.75308900,ASIA,Japan,EAS
Pokrovsk,Pokrovsk,GPE,-0.14446589,1.18685650,en,3.70000000,120435-X,563464,X,51.48388800,46.10527700,EUROPE,Russia,EEU
US,US,GPE,-0.10306437,1.61615961,en,3.60000000,,-1,,,,,,
