,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
one,one,CARDINAL,,,en,49,,,,,,
four,four,CARDINAL,,,en,49,,,,,,
six,six,CARDINAL,,,en,47,,,,,,
2025,2025,DATE,,,en,47,,,,,,
five,five,CARDINAL,,,en,37,,,,,,
first,first,ORDINAL,,,en,37,,,,,,
Halloween,Halloween,DATE,,,en,24,,,,,,
Corvette,Corvette,PRODUCT,,,en,20,,,,,,
eight,eight,CARDINAL,,,en,19,,,,,,
Russian,Russian,NORP,,,en,19,,,,,,
2015,2015,DATE,,,en,17,,,,,,
2006,2006,DATE,,,en,17,,,,,,
second,second,ORDINAL,,,en,17,,,,,,
Wednesday,Wednesday,DATE,,,en,16,,,,,,
2026,2026,DATE,,,en,15,,,,,,
2001,2001,DATE,,,en,14,,,,,,
Tuesday,Tuesday,DATE,,,en,14,,,,,,
today,today,DATE,,,en,14,,,,,,
Ukrainian,Ukrainian,NORP,-0.9645833333333333,3.802083333333333,en,14,,,,,,
2016,2016,CARDINAL,,,en,13,,,,,,
2003,2003,DATE,,,en,13,,,,,,
winter,winter,DATE,,,en,12,,,,,,
2024,2024,DATE,,,en,12,,,,,,
2011,2011,DATE,,,en,12,,,,,,
two,two,CARDINAL,,,en,12,,,,,,
2017,2017,CARDINAL,,,en,12,,,,,,
17,17,CARDINAL,,,en,11,,,,,,
2012,2012,DATE,,,en,11,,,,,,
2007,2007,DATE,,,en,11,,,,,,
October,October,DATE,,,en,10,,,,,,
1999,1999,DATE,,,en,10,,,,,,
Today,Today,DATE,,,en,10,,,,,,
three,three,CARDINAL,,,en,10,,,,,,
1979,1979,DATE,,,en,9,,,,,,
1998,1998,DATE,,,en,9,,,,,,
November,November,DATE,,,en,9,,,,,,
2014,2014,CARDINAL,,,en,9,,,,,,
Sunday,Sunday,DATE,,,en,9,,,,,,
this year,this year,DATE,,,en,9,,,,,,
Porsche Cayenne GTS,Porsche Cayenne GTS,PRODUCT,,,en,9,,,,,,
V8,V8,PRODUCT,,,en,9,,,,,,
2019,2019,DATE,,,en,9,,,,,,
Monday,Monday,DATE,,,en,9,,,,,,
2008,2008,DATE,,,en,8,,,,,,
Mustang,Mustang,PRODUCT,,,en,8,,,,,,
seven,seven,CARDINAL,,,en,8,,,,,,
morning,morning,TIME,,,en,8,,,,,,
4,4,CARDINAL,,,en,8,,,,,,
this week,this week,DATE,,,en,8,,,,,,
6,6,CARDINAL,,,en,8,,,,,,
1993,1993,DATE,,,en,8,,,,,,
1995,1995,DATE,,,en,8,,,,,,
next week,next week,DATE,,,en,8,,,,,,
About 1.25 million,About 1.25 million,CARDINAL,,,en,7,,,,,,
2010,2010,DATE,,,en,7,,,,,,
daily,daily,DATE,,,en,7,,,,,,
xDrive,xDrive,PRODUCT,,,en,7,,,,,,
5,5,CARDINAL,,,en,7,,,,,,
1990,1990,DATE,,,en,7,,,,,,
Two,Two,CARDINAL,,,en,7,,,,,,
V6,V6,PRODUCT,,,en,7,,,,,,
Friday,Friday,DATE,,,en,7,,,,,,
2000,2000,CARDINAL,,,en,7,,,,,,
911,911,CARDINAL,,,en,6,,,,,,
3,3,CARDINAL,,,en,6,,,,,,
2004,2004,DATE,,,en,6,,,,,,
sixth,sixth,ORDINAL,,,en,6,,,,,,
2023,2023,DATE,,,en,6,,,,,,
the year,the year,DATE,,,en,6,,,,,,
December,December,DATE,,,en,6,,,,,,
October 2025,October 2025,DATE,,,en,6,,,,,,
Asian,Asian,NORP,,,en,6,,,,,,
18,18,CARDINAL,,,en,6,,,,,,
Silverado,Silverado,PRODUCT,,,en,6,,,,,,
2021,2021,DATE,,,en,6,,,,,,
the day,the day,DATE,,,en,6,,,,,,
This 2000,This 2000,DATE,,,en,6,,,,,,
13k miles,13k miles,QUANTITY,,,en,6,,,,,,
Thursday,Thursday,DATE,,,en,6,,,,,,
Scorpio,Scorpio,PRODUCT,,,en,6,,,,,,
third,third,ORDINAL,,,en,6,,,,,,
10,10,CARDINAL,,,en,6,,,,,,
1996,1996,DATE,,,en,6,,,,,,
One,One,CARDINAL,,,en,6,,,,,,
328i,328i,PRODUCT,,,en,5,,,,,,
M5,M5,PRODUCT,,,en,5,,,,,,
335i,335i,PRODUCT,,,en,5,,,,,,
2013,2013,CARDINAL,,,en,5,,,,,,
2018,2018,DATE,,,en,5,,,,,,
1986,1986,DATE,,,en,5,,,,,,
This 2006,This 2006,EVENT,,,en,5,,,,,,
mornings,mornings,TIME,,,en,5,,,,,,
1985,1985,DATE,,,en,5,,,,,,
Republicans,Republicans,NORP,,,en,5,,,,,,
330Ci,330Ci,PRODUCT,,,en,5,,,,,,
20,20,CARDINAL,,,en,5,,,,,,
this spooky season,this spooky season,DATE,,,en,4,,,,,,
Golf Mk8.5,Golf Mk8.5,PRODUCT,,,en,4,,,,,,
2020,2020,CARDINAL,,,en,4,,,,,,
1,1,CARDINAL,,,en,4,,,,,,
the final year,the final year,DATE,,,en,4,,,,,,
Sikhs,Sikhs,NORP,,,en,4,,,,,,
44k miles,44k miles,QUANTITY,,,en,4,,,,,,
|,|,CARDINAL,,,en,4,,,,,,
last week,last week,DATE,,,en,4,,,,,,
67k miles,67k miles,QUANTITY,,,en,4,,,,,,
2002,2002,DATE,,,en,4,,,,,,
40th,40th,ORDINAL,,,en,4,,,,,,
52k miles,52k miles,QUANTITY,,,en,4,,,,,,
earlier this year,earlier this year,DATE,,,en,4,,,,,,
the model year,the model year,DATE,,,en,4,,,,,,
Saturday,Saturday,DATE,,,en,4,,,,,,
11k miles,11k miles,QUANTITY,,,en,4,,,,,,
2005,2005,DATE,,,en,4,,,,,,
this past week,this past week,DATE,,,en,4,,,,,,
2UZ,2UZ,CARDINAL,,,en,4,,,,,,
Porsche,Porsche,EVENT,,,en,4,,,,,,
15,15,CARDINAL,,,en,4,,,,,,
M3,M3,PRODUCT,,,en,4,,,,,,
27,27,CARDINAL,,,en,4,,,,,,
Altima,Altima,PRODUCT,,,en,3,,,,,,
five months,five months,DATE,,,en,3,,,,,,
300C,300C,PRODUCT,,,en,3,,,,,,
Autumn,Autumn,DATE,,,en,3,,,,,,
SuperCab Flareside,SuperCab Flareside,PRODUCT,,,en,3,,,,,,
22,22,CARDINAL,,,en,3,,,,,,
Ranger,Ranger,PRODUCT,,,en,3,,,,,,
44k,44k,CARDINAL,,,en,3,,,,,,
GX460,GX460,PRODUCT,,,en,3,,,,,,
"99,000","99,000",MONEY,,,en,3,,,,,,
"just 42,000","just 42,000",CARDINAL,,,en,3,,,,,,
S8,S8,PRODUCT,,,en,3,,,,,,
4.4-liter,4.4-liter,CARDINAL,,,en,3,,,,,,
Thunderbird,Thunderbird,PRODUCT,,,en,3,,,,,,
25k,25k,CARDINAL,,,en,3,,,,,,
330i,330i,PRODUCT,,,en,3,,,,,,
1982,1982,DATE,,,en,3,,,,,,
458,458,CARDINAL,,,en,3,,,,,,
American,American,NORP,,,en,3,,,,,,
weekly,weekly,DATE,,,en,3,,,,,,
1972,1972,DATE,,,en,3,,,,,,
944 Turbo,944 Turbo,PRODUCT,,,en,3,,,,,,
the past three days,the past three days,DATE,,,en,3,,,,,,
summer,summer,DATE,,,en,3,,,,,,
This 2008,This 2008,DATE,,,en,3,,,,,,
T5,T5,PRODUCT,,,en,3,,,,,,
C70,C70,PRODUCT,,,en,3,,,,,,
13k,13k,CARDINAL,,,en,3,,,,,,
Strobe Lights,Strobe Lights,WORK_OF_ART,,,en,3,,,,,,
1992,1992,DATE,,,en,3,,,,,,
100mm,100mm,QUANTITY,,,en,3,,,,,,
