,phrase,label,sentiment,subjectivity,language,count
IMD,IMD,ORG,-0.12852051576541387,0.5658008658008663,en,63.69999999999991
AQI,AQI,ORG,-0.20276499815973492,0.5603463787674311,en,24.700000000000014
IndiGo,IndiGo,ORG,-0.06991161616161612,0.4307807239057237,en,24.00000000000001
The India Meteorological Department,The India Meteorological Department,ORG,-0.1289816602316602,0.5012387387387386,en,14.800000000000004
Air India,Air India,ORG,-0.006565656565656565,0.36691919191919187,en,13.200000000000003
the India Meteorological Department,the India Meteorological Department,ORG,-0.07553635528842137,0.5226458802905082,en,12.100000000000005
BMW,BMW,ORG,-0.04683775961865851,1.807045170809218,en,8.89999999999999
SpiceJet,SpiceJet,ORG,-0.030741869918699188,0.29090447154471544,en,8.2
Stock Score,Stock Score,ORG,0.201219512195122,0.6420731707317073,en,8.2
No Reserve,No Reserve,ORG,0.02792475014697238,0.15814226925338046,en,8.099999999999996
Lexus,Lexus,ORG,-0.06830601092896174,0.17759562841530058,en,6.1
DGCA,DGCA,ORG,0.01827485380116959,0.22185672514619884,en,5.7
Toyota,Toyota,ORG,0.1289308176100629,0.9340521114106018,en,5.300000000000002
AP,AP,ORG,0.048006102693602684,0.5614478114478115,en,4.8
Air Quality Index,Air Quality Index,ORG,-0.13925925925925928,0.30592592592592593,en,4.5
NHAI,NHAI,ORG,0.0,0.11904761904761904,en,4.2
Mexican Navy,Mexican Navy,ORG,-0.0421875,0.18812500000000001,en,4.0
Chevrolet,Chevrolet,ORG,0.5408249158249155,2.2279040404040398,en,3.6000000000000023
Mitsubishi,Mitsubishi,ORG,-0.0462962962962963,0.12037037037037039,en,3.5999999999999996
Gurugram,Gurugram,ORG,-0.06372549019607841,0.40686274509803916,en,3.4000000000000004
Odisha,Odisha,ORG,-0.12499999999999999,0.8308823529411764,en,3.4000000000000004
Terai,Terai,ORG,0.19117647058823528,0.2647058823529412,en,3.4000000000000004
Camel,Camel,ORG,-0.0980392156862745,0.12745098039215685,en,3.4000000000000004
Fed,Fed,ORG,0.1884756657483929,1.5701714110805014,en,3.3000000000000016
the Department of Hydrology and Meteorology,the Department of Hydrology and Meteorology,ORG,0.196969696969697,0.5757575757575758,en,3.3
Ford,Ford,ORG,0.18763468013468002,1.899368686868686,en,3.0000000000000018
the Central Pollution Control Board,the Central Pollution Control Board,ORG,-0.23641025641025643,0.24102564102564103,en,2.6
Air India's,Air India's,ORG,0.07403846153846154,0.4182692307692307,en,2.6
Air India Express,Air India Express,ORG,0.14423076923076922,0.3365384615384615,en,2.6
Ghaziabad,Ghaziabad,ORG,-0.024038461538461536,0.07211538461538461,en,2.6
Dodge,Dodge,ORG,-0.1282051282051282,0.3333333333333333,en,2.6
Indigo,Indigo,ORG,-0.01602564102564102,0.1923076923076923,en,2.6
Reliance Jio,Reliance Jio,ORG,0.05244755244755244,0.17482517482517482,en,2.6
Delhi NCR,Delhi NCR,ORG,-0.02243589743589743,0.15224358974358973,en,2.6
The National Highways Authority of India,The National Highways Authority of India,ORG,0.0,0.1923076923076923,en,2.6
AAI,AAI,ORG,-0.3153846153846154,0.5951923076923076,en,2.6
Hemi,Hemi,ORG,-0.1282051282051282,0.3333333333333333,en,2.6
IGI,IGI,ORG,-0.03846153846153845,0.30769230769230765,en,2.6
Noida,Noida,ORG,-0.11378205128205128,0.20512820512820512,en,2.6
The Indira Gandhi International Airport,The Indira Gandhi International Airport,ORG,-0.017474747474747483,0.12444444444444444,en,2.5
Unity,Unity,ORG,0.21464646464646464,0.39141414141414144,en,2.4
the Weather Forecasting Division,the Weather Forecasting Division,ORG,-0.06547619047619048,0.2628968253968254,en,2.4
Ashoka University,Ashoka University,ORG,-0.045454545454545456,0.15909090909090906,en,2.2
