,phrase,label,sentiment,subjectivity,language,count
Jerome Powell,Jerome Powell,PERSON,-0.2020774976657329,2.1110177404295043,en,1.7000000000000006
Sanjay Malhotra,Sanjay Malhotra,PERSON,-0.07407407407407404,0.9351851851851849,en,1.5000000000000004
Dr Pal,Dr Pal,PERSON,0.5357142857142857,1.2908163265306118,en,1.4000000000000004
Met Éireann,Met Éireann,PERSON,0.21825396825396823,1.0476190476190474,en,1.4000000000000004
Guru Nanak Dev Ji,Guru Nanak Dev Ji,PERSON,0.19230769230769226,0.33333333333333326,en,1.3000000000000003
Elfyn Evans,Elfyn Evans,PERSON,0.6495726495726494,2.222222222222222,en,1.3000000000000003
Sumbul Touqeer Khan,Sumbul Touqeer Khan,PERSON,0.0,1.6319444444444442,en,1.2000000000000002
Sebastien Ogier,Sebastien Ogier,PERSON,0.3703703703703703,1.7407407407407407,en,1.2000000000000002
Jaguar XKR,Jaguar XKR,PERSON,0.4999999999999999,0.4999999999999999,en,1.2000000000000002
Edmund Fitzgerald,Edmund Fitzgerald,PERSON,0.4953703703703703,0.9282407407407406,en,1.2000000000000002
Mini Cooper,Mini Cooper,PERSON,0.26010101010101006,0.8095959595959596,en,1.2000000000000002
Christopher Waller,Christopher Waller,PERSON,0.0606060606060606,0.8787878787878787,en,1.1
Sharpe BMW,Sharpe BMW,PERSON,0.20454545454545453,0.9318181818181817,en,1.1
Getty Images,Getty Images,PERSON,0.0,0.0,en,1.1
Kelley Vlahos,Kelley Vlahos,PERSON,-0.14141414141414144,0.5656565656565656,en,1.1
McNally Jackson’s,McNally Jackson’s,PERSON,0.18939393939393936,0.25252525252525254,en,1.1
Gianni Rodari,Gianni Rodari,PERSON,0.18939393939393936,0.25252525252525254,en,1.1
Antony Shugaar’s,Antony Shugaar’s,PERSON,0.18939393939393936,0.25252525252525254,en,1.1
Stephen Thandi,Stephen Thandi,PERSON,0.034435261707988996,0.9607438016528923,en,1.1
Pat Parrott,Pat Parrott,PERSON,-0.13636363636363638,0.9393939393939392,en,1.1
Lisa Cook,Lisa Cook,PERSON,0.18181818181818182,1.8181818181818181,en,1.1
Alan Wake,Alan Wake,PERSON,-0.35606060606060597,1.0378787878787878,en,1.1
Josh Olszewicz,Josh Olszewicz,PERSON,0.07272727272727272,0.8727272727272726,en,1.1
Lexus GX470,Lexus GX470,PERSON,0.0,0.0,en,1.1
Photochromic Lenses,Photochromic Lenses,PERSON,0.09090909090909091,0.27272727272727276,en,1.1
Surjit Singh FloraSatguru Nanak pargateya,Surjit Singh FloraSatguru Nanak pargateya,PERSON,0.0,0.0,en,1.1
chanan hoya,chanan hoya,PERSON,0.0,0.0,en,1.1
Craig Lobo,Craig Lobo,PERSON,0.0,0.9090909090909091,en,1.1
Sharan Sivakumar,Sharan Sivakumar,PERSON,0.26666666666666666,1.1242424242424243,en,1.1
Ryan Borgwardt,Ryan Borgwardt,PERSON,-0.09090909090909091,0.045454545454545456,en,1.1
Matthew Barton,Matthew Barton,PERSON,0.2939393939393939,0.4121212121212121,en,1.1
John Roberts BMW,John Roberts BMW,PERSON,0.45454545454545453,0.606060606060606,en,1.1
Mark LT,Mark LT,PERSON,0.3409090909090909,0.6818181818181818,en,1.1
Jerry Lorenzo,Jerry Lorenzo,PERSON,-0.45454545454545453,1.0,en,1.1
Josh Dury,Josh Dury,PERSON,0.7727272727272726,1.3636363636363635,en,1.1
CHRISTOPHER RUGABER,CHRISTOPHER RUGABER,PERSON,0.0,0.0,en,1.1
Mark Shapiro,Mark Shapiro,PERSON,0.0,0.18181818181818182,en,1.1
Justin Wilson,Justin Wilson,PERSON,0.0,0.0,en,1.1
Highland Autoplex,Highland Autoplex,PERSON,0.17234848484848483,0.678030303030303,en,1.1
Daniel Herskedal,Daniel Herskedal,PERSON,0.2045454545454545,1.2272727272727273,en,1.1
Jessie Inchauspé,Jessie Inchauspé,PERSON,0.9090909090909091,0.9090909090909091,en,1.1
Gordon Lightfoot,Gordon Lightfoot,PERSON,0.09090909090909093,0.8333333333333333,en,1.1
Marco Odermatt,Marco Odermatt,PERSON,0.7840909090909091,1.1464646464646464,en,1.1
Miko microsuede,Miko microsuede,PERSON,-0.23645546372819098,0.6932966023875116,en,1.1
Andy Muschietti,Andy Muschietti,PERSON,-0.803030303030303,1.333333333333333,en,1.1
Aries Horoscope,Aries Horoscope,PERSON,0.0,0.28787878787878785,en,1.1
Rover Tow,Rover Tow,PERSON,0.0,0.303030303030303,en,1.1
